Classe Lca,Prevalência,Número De Registros,Posterior Média,Top Categorias Por Indicador,Nome Interpretativo Sugerido,Descrição Narrativa Curta
0,0.1291220839702948,23401,0.8514260468381752,"Deslocamento Geográfico: Outra Uf (Lift 1.10, Pct Condicional 0.01); Escolaridade: Médio (Lift 1.68, Pct Condicional 0.33); Estado Civil: Solteiro (Lift 1.87, Pct Condicional 0.96); Faixa Etária: <15 (Lift 7.58, Pct Condicional 0.09); Indício Transtorno Mental: Não (Lift 1.01, Pct Condicional 0.98); Indício Transtorno Por Substâncias: Não (Lift 1.00, Pct Condicional 0.99); Local Ocorrência Consolidado: Residência (Lift 1.05, Pct Condicional 0.68); Mecanismo Lesão Autoprovocada: Precipitação, Veículo Ou Impacto (Lift 1.40, Pct Condicional 0.06); Ocupação Macro: Estudante (Lift 7.48, Pct Condicional 0.51); Raça Cor: Indígena (Lift 3.27, Pct Condicional 0.03); Região Residência: Norte (Lift 2.09, Pct Condicional 0.16); Sexo: Feminino (Lift 1.43, Pct Condicional 0.31)",Feminino | <15 | Estudante,Classe marcada principalmente por Deslocamento Geográfico: Outra Uf; Escolaridade: Médio; Estado Civil: Solteiro; Faixa Etária: <15; Indício Transtorno Mental: Não; Indício Transtorno Por Substâncias: Não.
1,0.09369926659734754,17691,0.8211014989514932,"Deslocamento Geográfico: Outro Município Mesma Uf (Lift 3.27, Pct Condicional 0.36); Escolaridade: Ignorado Ou Não Preenchido (Lift 1.18, Pct Condicional 0.35); Estado Civil: Viúvo (Lift 1.31, Pct Condicional 0.05); Faixa Etária: Ignorado Ou Não Preenchido (Lift 2.13, Pct Condicional 0.00); Indício Transtorno Mental: Sim (Lift 2.87, Pct Condicional 0.10); Indício Transtorno Por Substâncias: Sim (Lift 2.99, Pct Condicional 0.05); Local Ocorrência Consolidado: Estabelecimento De Saúde (Lift 6.67, Pct Condicional 0.55); Mecanismo Lesão Autoprovocada: Fogo, Calor Ou Fumaça (Lift 8.21, Pct Condicional 0.12); Ocupação Macro: Construção E Manutenção (Lift 1.95, Pct Condicional 0.25); Raça Cor: Ignorado Ou Não Preenchido (Lift 1.70, Pct Condicional 0.04); Região Residência: Sudeste (Lift 1.38, Pct Condicional 0.51); Sexo: Ignorado Ou Não Preenchido (Lift 2.56, Pct Condicional 0.00)",Ignorado Ou Não Preenchido | Ignorado Ou Não Preenchido | Construção E Manutenção,Classe marcada principalmente por Deslocamento Geográfico: Outro Município Mesma Uf; Escolaridade: Ignorado Ou Não Preenchido; Estado Civil: Viúvo; Faixa Etária: Ignorado Ou Não Preenchido; Indício Transtorno Mental: Sim; Indício Transtorno Por Substâncias: Sim.
2,0.244710593027726,46352,0.8449105467968409,"Deslocamento Geográfico: Outra Uf (Lift 1.05, Pct Condicional 0.01); Escolaridade: Sem Escolaridade (Lift 1.98, Pct Condicional 0.08); Estado Civil: Ignorado Ou Não Preenchido (Lift 1.27, Pct Condicional 0.10); Faixa Etária: Ignorado Ou Não Preenchido (Lift 1.55, Pct Condicional 0.00); Indício Transtorno Mental: Não (Lift 1.01, Pct Condicional 0.98); Indício Transtorno Por Substâncias: Sim (Lift 1.01, Pct Condicional 0.02); Local Ocorrência Consolidado: Área Rural (Lift 1.73, Pct Condicional 0.02); Mecanismo Lesão Autoprovocada: Enforcamento, Estrangulamento E Sufocação (Lift 1.21, Pct Condicional 0.83); Ocupação Macro: Agropecuária (Lift 2.13, Pct Condicional 0.30); Raça Cor: Indígena (Lift 2.18, Pct Condicional 0.02); Região Residência: Nordeste (Lift 2.37, Pct Condicional 0.56); Sexo: Ignorado Ou Não Preenchido (Lift 2.01, Pct Condicional 0.00)",Ignorado Ou Não Preenchido | Ignorado Ou Não Preenchido | Agropecuária,Classe marcada principalmente por Deslocamento Geográfico: Outra Uf; Escolaridade: Sem Escolaridade; Estado Civil: Ignorado Ou Não Preenchido; Faixa Etária: Ignorado Ou Não Preenchido; Indício Transtorno Mental: Não; Indício Transtorno Por Substâncias: Sim.
3,0.11874831644016635,21874,0.841215841687866,"Deslocamento Geográfico: Outra Uf (Lift 1.63, Pct Condicional 0.02); Escolaridade: Superior (Lift 6.06, Pct Condicional 0.54); Estado Civil: Separado Ou Divorciado (Lift 2.30, Pct Condicional 0.16); Faixa Etária: 35-44 (Lift 1.46, Pct Condicional 0.29); Indício Transtorno Mental: Sim (Lift 1.47, Pct Condicional 0.05); Indício Transtorno Por Substâncias: Sim (Lift 1.27, Pct Condicional 0.02); Local Ocorrência Consolidado: Institucional Ou Coletivo (Lift 1.61, Pct Condicional 0.06); Mecanismo Lesão Autoprovocada: Precipitação, Veículo Ou Impacto (Lift 2.97, Pct Condicional 0.13); Ocupação Macro: Profissões Qualificadas E Serviço Público (Lift 6.27, Pct Condicional 0.53); Raça Cor: Amarela (Lift 2.58, Pct Condicional 0.01); Região Residência: Centro-Oeste (Lift 1.36, Pct Condicional 0.13); Sexo: Feminino (Lift 1.49, Pct Condicional 0.32)",Feminino | 35-44 | Profissões Qualificadas E Serviço Público,Classe marcada principalmente por Deslocamento Geográfico: Outra Uf; Escolaridade: Superior; Estado Civil: Separado Ou Divorciado; Faixa Etária: 35-44; Indício Transtorno Mental: Sim; Indício Transtorno Por Substâncias: Sim.
4,0.16319150474626604,30076,0.850259643326928,"Deslocamento Geográfico: Mesmo Município (Lift 1.07, Pct Condicional 0.94); Escolaridade: Sem Escolaridade (Lift 2.27, Pct Condicional 0.09); Estado Civil: Viúvo (Lift 4.74, Pct Condicional 0.17); Faixa Etária: 75+ (Lift 5.06, Pct Condicional 0.23); Indício Transtorno Mental: Sim (Lift 1.18, Pct Condicional 0.04); Indício Transtorno Por Substâncias: Não (Lift 1.01, Pct Condicional 1.00); Local Ocorrência Consolidado: Residência (Lift 1.19, Pct Condicional 0.77); Mecanismo Lesão Autoprovocada: Afogamento (Lift 1.45, Pct Condicional 0.02); Ocupação Macro: Aposentado Ou Pensionista (Lift 4.62, Pct Condicional 0.30); Raça Cor: Amarela (Lift 1.79, Pct Condicional 0.01); Região Residência: Sul (Lift 1.80, Pct Condicional 0.41); Sexo: Masculino (Lift 1.03, Pct Condicional 0.81)",Masculino | 75+ | Aposentado Ou Pensionista,Classe marcada principalmente por Deslocamento Geográfico: Mesmo Município; Escolaridade: Sem Escolaridade; Estado Civil: Viúvo; Faixa Etária: 75+; Indício Transtorno Mental: Sim; Indício Transtorno Por Substâncias: Não.
5,0.25052823521819345,51631,0.7785998178867098,"Deslocamento Geográfico: Mesmo Município (Lift 1.02, Pct Condicional 0.90); Escolaridade: Fundamental II (Lift 1.31, Pct Condicional 0.28); Estado Civil: Ignorado Ou Não Preenchido (Lift 1.44, Pct Condicional 0.11); Faixa Etária: Ignorado Ou Não Preenchido (Lift 1.68, Pct Condicional 0.00); Indício Transtorno Mental: Não (Lift 1.02, Pct Condicional 0.99); Indício Transtorno Por Substâncias: Não (Lift 1.00, Pct Condicional 0.99); Local Ocorrência Consolidado: Institucional Ou Coletivo (Lift 1.27, Pct Condicional 0.05); Mecanismo Lesão Autoprovocada: Afogamento (Lift 1.25, Pct Condicional 0.01); Ocupação Macro: Indústria E Produção (Lift 1.98, Pct Condicional 0.13); Raça Cor: Branca (Lift 1.48, Pct Condicional 0.72); Região Residência: Sul (Lift 1.82, Pct Condicional 0.41); Sexo: Masculino (Lift 1.11, Pct Condicional 0.87)",Masculino | Ignorado Ou Não Preenchido | Indústria E Produção,Classe marcada principalmente por Deslocamento Geográfico: Mesmo Município; Escolaridade: Fundamental II; Estado Civil: Ignorado Ou Não Preenchido; Faixa Etária: Ignorado Ou Não Preenchido; Indício Transtorno Mental: Não; Indício Transtorno Por Substâncias: Não.
