K,Observações,Indicadores,Aic,Bic,Sabic,Relative Entropy,Mean Max Posterior,Min Class Pct,Max Class Pct,Número De Parâmetros,Converged,Número De Iterações,Tamanhos Absolutos,Tamanhos Percentuais,Std Max Posterior,Classes Vazias,Warnings,Tempo De Execução,Erro,Status Seleção,Elegível
2,191025,12,4834640.81488787,4835788.912921373,4836803.892055131,0.6866690294443327,0.9046970785821727,0.476900929197749,0.523099070802251,113,True,100,"{""0"": 91100, ""1"": 99925}","{""0"": 0.476900929197749, ""1"": 0.523099070802251}",0.13521507483473433,0,,367.03177090000827,,Elegível,True
3,191025,12,4770644.935975807,4772372.163105855,4773899.122864606,0.7179108679920019,0.8699073103052665,0.2904593639575972,0.39482790210705404,170,True,168,"{""0"": 55485, ""1"": 60118, ""2"": 75422}","{""0"": 0.2904593639575972, ""1"": 0.31471273393534877, ""2"": 0.39482790210705404}",0.15588857436912112,0,,728.9370011000428,,Elegível,True
4,191025,12,4728222.72618229,4730529.082408884,4732568.022792627,0.7056423574609114,0.8346283127559313,0.21414474545216594,0.28534485015050387,227,True,239,"{""0"": 50933, ""1"": 44677, ""2"": 54508, ""3"": 40907}","{""0"": 0.2666300222483968, ""1"": 0.2338803821489334, ""2"": 0.28534485015050387, ""3"": 0.21414474545216594}",0.17032773083184644,0,,971.258894000086,,Elegível,True
5,191025,12,4695665.311547484,4698550.796870623,4701101.71787936,0.7174932085122656,0.8167007274794771,0.1388614055751865,0.2962805915456092,284,True,198,"{""0"": 56597, ""1"": 26526, ""2"": 29206, ""3"": 35243, ""4"": 43453}","{""0"": 0.2962805915456092, ""1"": 0.1388614055751865, ""2"": 0.15289098285564717, ""3"": 0.18449417615495353, ""4"": 0.22747284386860359}",0.17737052356952296,0,,993.545348100015,,Elegível,True
6,191025,12,4660554.31873487,4664018.933154554,4667081.834788284,0.7582503028722951,0.8260001191269623,0.09261091480172752,0.27028399424159144,341,True,250,"{""0"": 23401, ""1"": 17691, ""2"": 46352, ""3"": 21874, ""4"": 30076, ""5"": 51631}","{""0"": 0.12250229027614187, ""1"": 0.09261091480172752, ""2"": 0.2426488679492213, ""3"": 0.1145085721764167, ""4"": 0.1574453605549012, ""5"": 0.27028399424159144}",0.17772320578767195,0,,896.6501555000432,,Elegível,True
