Classe Lca,Prevalência Classe,Número De Registros,Probabilidade Posterior Média
0,0.1291220839702948,23401,0.8514260468381752
1,0.09369926659734754,17691,0.8211014989514932
2,0.244710593027726,46352,0.8449105467968409
3,0.11874831644016635,21874,0.841215841687866
4,0.16319150474626604,30076,0.850259643326928
5,0.25052823521819345,51631,0.7785998178867098
