ordem,feature,importance
1,Faixa Etária,19.28472909833178
2,Ocupação Macro,16.507578722771644
3,Região Residência,14.731158675749576
4,Escolaridade,12.139555902852173
5,Mecanismo Lesão Autoprovocada,9.232157727237706
6,Estado Civil,8.8439818490914
7,Raça Cor,7.85764746650633
8,Local Ocorrência Consolidado,5.819806622672934
9,Sexo,2.511838645621184
10,Deslocamento Geográfico,1.8528984948214526
11,Indício Transtorno Mental,0.7711152656176454
12,Indício Transtorno Por Substâncias,0.44753152872605
